,fips,first_case_date,first_death_date,first_case_week,first_death_week
0,60,,,,
1,66,2020-03-16,2020-03-22,2020-03-16,2020-03-16
2,69,2020-03-31,2020-04-01,2020-03-30,2020-03-30
3,72,2020-03-16,2020-03-21,2020-03-16,2020-03-16
4,78,2020-03-16,2020-04-05,2020-03-16,2020-03-30
5,1001,2020-03-24,2020-04-07,2020-03-23,2020-04-06
6,1003,2020-03-15,2020-03-29,2020-03-09,2020-03-23
7,1005,2020-04-03,2020-04-29,2020-03-30,2020-04-27
8,1007,2020-03-30,,2020-03-30,
9,1009,2020-03-25,,2020-03-23,
10,1011,2020-03-26,2020-05-06,2020-03-23,2020-05-04
11,1013,2020-03-25,2020-04-26,2020-03-23,2020-04-20
12,1015,2020-03-18,2020-04-17,2020-03-16,2020-04-13
13,1017,2020-03-19,2020-03-29,2020-03-16,2020-03-23
14,1019,2020-03-25,,2020-03-23,
15,1021,2020-03-25,2020-04-22,2020-03-23,2020-04-20
16,1023,2020-03-26,,2020-03-23,
17,1025,2020-04-02,2020-04-21,2020-03-30,2020-04-20
18,1027,2020-03-25,2020-04-26,2020-03-23,2020-04-20
19,1029,2020-03-25,2020-04-19,2020-03-23,2020-04-13
20,1031,2020-03-26,2020-04-21,2020-03-23,2020-04-20
21,1033,2020-03-25,2020-04-07,2020-03-23,2020-04-06
22,1035,2020-04-02,,2020-03-30,
23,1037,2020-03-26,2020-04-14,2020-03-23,2020-04-13
24,1039,2020-03-27,2020-04-17,2020-03-23,2020-04-13
25,1041,2020-03-27,,2020-03-23,
26,1043,2020-03-21,2020-04-01,2020-03-16,2020-03-30
27,1045,2020-04-02,,2020-03-30,
28,1047,2020-03-25,2020-04-15,2020-03-23,2020-04-13
29,1049,2020-03-26,2020-04-16,2020-03-23,2020-04-13
30,1051,2020-03-14,2020-04-17,2020-03-09,2020-04-13
31,1053,2020-03-28,2020-04-22,2020-03-23,2020-04-20
32,1055,2020-03-26,2020-04-01,2020-03-23,2020-03-30
33,1057,2020-03-30,,2020-03-30,
34,1059,2020-03-23,2020-04-14,2020-03-23,2020-04-13
35,1061,2020-04-08,,2020-04-06,
36,1063,2020-03-27,2020-04-28,2020-03-23,2020-04-27
37,1065,2020-03-30,2020-04-18,2020-03-30,2020-04-13
38,1067,2020-04-03,2020-04-24,2020-03-30,2020-04-20
39,1069,2020-03-23,2020-04-03,2020-03-23,2020-03-30
40,1071,2020-03-20,2020-03-25,2020-03-16,2020-03-23
41,1073,2020-03-13,2020-04-01,2020-03-09,2020-03-30
42,1075,2020-03-20,,2020-03-16,
43,1077,2020-03-20,2020-03-27,2020-03-16,2020-03-23
44,1079,2020-03-26,,2020-03-23,
45,1081,2020-03-16,2020-03-29,2020-03-16,2020-03-23
46,1083,2020-03-14,,2020-03-09,
47,1085,2020-03-26,2020-04-22,2020-03-23,2020-04-20
48,1087,2020-03-29,2020-04-07,2020-03-23,2020-04-06
